Date,Description,Amount
2025-10-01,Monthly Salary,50000
2025-10-03,Swiggy Order,-1250
2025-10-05,Uber Ride,-450
2025-10-10,Amazon Shopping,-5500
2025-10-15,Rent Payment,-15000
2025-10-20,Zomato Dinner,-900
2025-10-25,LIC Insurance Premium,-8000
2025-11-01,Monthly Salary,50000
2025-11-04,Swiggy Order,-1400
2025-11-07,Uber Ride,-600
2025-11-12,Amazon Electronics,-12000
2025-11-15,Rent Payment,-15000
2025-11-20,Zomato Lunch,-850
2025-11-22,Health Insurance Policy,-6000
2025-11-28,Freelance Client A,12000
2025-12-01,Monthly Salary,50000
2025-12-05,Swiggy Order,-1100
2025-12-09,Uber Ride,-550
2025-12-14,Amazon Gift,-3500
2025-12-15,Rent Payment,-15000
2025-12-20,Zomato Dinner,-1300
2025-12-24,Charity Donation,-2000
2025-12-28,Mutual Fund SIP,-10000
2026-01-01,Monthly Salary,52000
2026-01-06,Swiggy Order,-950
2026-01-08,Uber Ride,-420
2026-01-12,Amazon Home Decor,-4500
2026-01-15,Rent Payment,-15000
2026-01-20,Zomato Lunch,-1100
2026-01-25,PPF Contribution,-15000
2026-02-01,Monthly Salary,52000
2026-02-05,Swiggy Order,-800
2026-02-07,Uber Ride,-480
2026-02-13,Amazon Fashion,-3200
2026-02-15,Rent Payment,-15000
2026-02-21,Medical Expenses,-12000
2026-02-26,Stock Dividend,3500
2026-03-01,Monthly Salary,55000
2026-03-04,Swiggy Order,-1200
2026-03-08,Uber Ride,-380
2026-03-14,Amazon Gadget,-18000
2026-03-15,Rent Payment,-15000
2026-03-20,Zomato Dinner,-1050
2026-03-25,National Pension Scheme,-10000
2026-04-01,Monthly Salary,55000